puzzle_num,puzzle_folder,difficulty,num_2x1_blockers,num_3x1_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,timestamp
85,puzzle85,medium,5,1,2,2,True,True,19.89,2025-08-27T19:35:20.367578
86,puzzle86,medium,5,1,9,9,True,True,152.22,2025-08-27T19:37:53.589962
87,puzzle87,medium,5,1,7,7,True,True,43.31,2025-08-27T19:38:37.901982
88,puzzle88,medium,3,3,6,10,False,True,44.36,2025-08-27T19:39:23.263241
89,puzzle89,medium,4,2,3,6,False,True,46.74,2025-08-27T19:40:11.003749
90,puzzle90,medium,3,3,10,18,False,True,210.31,2025-08-27T19:43:42.318325
91,puzzle91,medium,4,2,10,0,False,False,205.67,2025-08-27T19:47:08.989992
92,puzzle92,medium,5,1,7,7,True,True,70.38,2025-08-27T19:48:20.365807
93,puzzle93,medium,4,2,18,17,False,True,237.7,2025-08-27T19:52:19.066594
94,puzzle94,medium,3,3,7,9,False,True,170.31,2025-08-27T19:55:10.381674
95,puzzle95,medium,4,2,10,16,False,True,212.71,2025-08-27T19:58:44.089326
96,puzzle96,medium,5,1,7,10,False,True,237.29,2025-08-27T20:02:42.381893
97,puzzle97,medium,3,3,20,15,False,True,166.21,2025-08-27T20:05:29.595922
98,puzzle98,medium,3,3,14,17,False,True,251.21,2025-08-27T20:09:41.808702
99,puzzle99,medium,3,3,13,20,False,True,216.19,2025-08-27T20:13:19.003437
100,puzzle100,medium,4,2,12,10,False,True,86.45,2025-08-27T20:14:46.455968
101,puzzle101,hard,3,4,18,19,False,True,209.84,2025-08-27T20:18:17.297387
102,puzzle102,hard,4,3,6,15,False,True,215.68,2025-08-27T20:21:53.979379
103,puzzle103,hard,3,4,10,13,False,True,143.76,2025-08-27T20:24:18.735100
104,puzzle104,hard,5,3,2,2,True,True,22.28,2025-08-27T20:24:42.018665
105,puzzle105,hard,5,3,13,10,False,True,228.75,2025-08-27T20:28:31.765743
106,puzzle106,hard,4,3,1,1,True,True,23.52,2025-08-27T20:28:56.283219
107,puzzle107,hard,5,3,16,26,False,True,166.56,2025-08-27T20:31:43.888964
108,puzzle108,hard,5,3,1,1,True,True,32.46,2025-08-27T20:32:17.350278
109,puzzle109,hard,5,3,9,14,False,True,245.93,2025-08-27T20:36:24.276416
110,puzzle110,hard,5,3,16,15,False,True,257.67,2025-08-27T20:40:42.943715
111,puzzle111,hard,5,3,23,18,False,True,242.81,2025-08-27T20:44:46.753935
112,puzzle112,hard,4,3,10,12,False,True,175.74,2025-08-27T20:47:43.494644
113,puzzle113,hard,3,4,9,14,False,True,242.31,2025-08-27T20:51:46.802892
114,puzzle114,hard,4,3,6,6,True,True,30.44,2025-08-27T20:52:18.240338
115,puzzle115,hard,3,4,7,7,True,True,73.65,2025-08-27T20:53:32.891645
116,puzzle116,hard,4,3,8,5,False,True,33.85,2025-08-27T20:54:07.738099
117,puzzle117,hard,4,3,16,10,False,True,226.5,2025-08-27T20:57:55.240921
118,puzzle118,hard,5,3,6,6,True,True,112.25,2025-08-27T20:59:48.494138
119,puzzle119,hard,4,3,41,10,False,True,218.39,2025-08-27T21:03:27.881320
120,puzzle120,hard,5,3,5,5,True,True,30.4,2025-08-27T21:03:59.285250
121,puzzle121,hard,3,4,19,18,False,True,227.26,2025-08-27T21:07:47.550544
122,puzzle122,hard,5,3,20,13,False,True,187.53,2025-08-27T21:10:56.079965
123,puzzle123,hard,4,3,6,14,False,True,249.47,2025-08-27T21:15:06.548349
124,puzzle124,hard,5,3,12,15,False,True,209.28,2025-08-27T21:18:36.825314
125,puzzle125,hard,5,3,22,5,False,True,211.23,2025-08-27T21:22:09.058003
126,puzzle126,hard,3,4,11,11,True,True,263.32,2025-08-27T21:26:33.379186
127,puzzle127,hard,3,4,4,19,False,True,221.72,2025-08-27T21:30:16.104255
128,puzzle128,hard,3,4,65,14,False,True,197.1,2025-08-27T21:33:34.199839
129,puzzle129,hard,5,3,10,13,False,True,238.89,2025-08-27T21:37:34.089316
130,puzzle130,hard,4,3,16,19,False,True,210.44,2025-08-27T21:41:05.525356
131,puzzle131,hard,4,3,29,18,False,True,234.31,2025-08-27T21:45:00.840286
132,puzzle132,hard,3,4,5,5,True,True,99.35,2025-08-27T21:46:41.191563
133,puzzle133,hard,3,4,12,9,False,True,216.68,2025-08-27T21:50:18.870900
134,puzzle134,hard,4,3,10,11,False,True,189.4,2025-08-27T21:53:29.273038
135,puzzle135,hard,3,4,10,18,False,True,233.38,2025-08-27T21:57:23.655475
136,puzzle136,hard,3,4,10,5,False,True,152.1,2025-08-27T21:59:56.756390
137,puzzle137,hard,5,3,13,18,False,True,233.18,2025-08-27T22:03:50.940390
138,puzzle138,hard,4,3,12,28,False,True,245.58,2025-08-27T22:07:57.522002
139,puzzle139,hard,4,3,8,9,False,True,180.76,2025-08-27T22:10:59.283619
140,puzzle140,hard,5,3,11,17,False,True,232.89,2025-08-27T22:14:53.170578
141,puzzle141,hard,4,3,40,22,False,True,205.65,2025-08-27T22:18:19.820543
142,puzzle142,hard,5,3,6,6,True,True,49.99,2025-08-27T22:19:10.815263
143,puzzle143,hard,3,4,9,10,False,True,210.66,2025-08-27T22:22:42.475034
144,puzzle144,hard,4,3,22,10,False,True,224.8,2025-08-27T22:26:28.278237
145,puzzle145,hard,4,3,22,9,False,True,244.85,2025-08-27T22:30:34.129911
146,puzzle146,hard,3,4,17,8,False,True,172.49,2025-08-27T22:33:27.620580
147,puzzle147,hard,5,3,9,17,False,True,215.76,2025-08-27T22:37:04.385449
148,puzzle148,hard,4,3,9,10,False,True,240.8,2025-08-27T22:41:06.184866
149,puzzle149,hard,4,3,6,7,False,True,90.95,2025-08-27T22:42:38.133593
150,puzzle150,hard,5,3,15,16,False,True,211.77,2025-08-27T22:46:10.905520
