puzzle_num,puzzle_folder,difficulty,num_2x1_blockers,num_3x1_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,input_tokens,reasoning_tokens,output_tokens,total_tokens,has_reasoning,reasoning_length_chars,timestamp
22,puzzle22,easy,2,2,9,9,True,True,150.86,1151,0,13552,14703,False,0,2025-08-26T18:33:00.328109
23,puzzle23,easy,4,0,8,9,False,True,90.85,1140,0,5736,6876,False,0,2025-08-26T18:34:32.175608
24,puzzle24,easy,2,2,7,8,False,True,125.31,1151,0,5023,6174,False,0,2025-08-26T18:36:38.487045
25,puzzle25,easy,2,2,11,17,False,True,136.03,1150,0,11909,13059,False,0,2025-08-26T18:38:55.518415
26,puzzle26,easy,3,1,2,2,True,True,34.67,1144,0,2045,3189,False,0,2025-08-26T18:39:31.186320
27,puzzle27,easy,3,1,4,6,False,True,46.82,1145,0,5032,6177,False,0,2025-08-26T18:40:19.010642
28,puzzle28,easy,2,2,15,17,False,True,1727.3,1149,0,26912,28061,False,0,2025-08-26T19:09:07.307789
29,puzzle29,easy,3,1,5,5,True,True,79.51,1143,0,5903,7046,False,0,2025-08-26T19:10:27.820925
30,puzzle30,easy,2,2,3,3,True,True,46.18,1151,0,2461,3612,False,0,2025-08-26T19:11:15.004114
31,puzzle31,easy,2,2,4,4,True,True,29.06,1151,0,2734,3885,False,0,2025-08-26T19:11:45.065881
32,puzzle32,easy,4,0,4,6,False,True,23.1,1142,0,2206,3348,False,0,2025-08-26T19:12:09.170869
33,puzzle33,easy,2,2,7,7,True,True,66.69,1151,0,5001,6152,False,0,2025-08-26T19:13:16.857294
34,puzzle34,easy,4,0,2,2,True,True,15.67,1142,0,828,1970,False,0,2025-08-26T19:13:33.524678
35,puzzle35,easy,4,0,6,6,True,True,22.78,1142,0,2397,3539,False,0,2025-08-26T19:13:57.306905
36,puzzle36,easy,2,2,5,11,False,True,200.94,1151,0,12058,13209,False,0,2025-08-26T19:17:19.243032
37,puzzle37,easy,4,0,2,2,True,True,11.26,1140,0,892,2032,False,0,2025-08-26T19:17:31.503553
38,puzzle38,easy,4,0,5,5,True,True,42.85,1142,0,2950,4092,False,0,2025-08-26T19:18:15.356810
39,puzzle39,easy,3,1,2,2,True,True,18.5,1144,0,892,2036,False,0,2025-08-26T19:18:34.858615
40,puzzle40,easy,4,0,2,2,True,True,8.48,1143,0,764,1907,False,0,2025-08-26T19:18:44.337735
41,puzzle41,easy,4,0,1,1,True,True,8.52,1142,0,484,1626,False,0,2025-08-26T19:18:53.860672
42,puzzle42,easy,2,2,5,6,False,True,73.71,1150,0,5288,6438,False,0,2025-08-26T19:20:08.572203
43,puzzle43,easy,4,0,5,7,False,True,73.9,1142,0,4153,5295,False,0,2025-08-26T19:21:23.469638
44,puzzle44,easy,4,0,1,1,True,True,8.19,1140,0,676,1816,False,0,2025-08-26T19:21:32.664517
45,puzzle45,easy,4,0,7,7,True,True,75.41,1141,0,6582,7723,False,0,2025-08-26T19:22:49.072457
46,puzzle46,easy,2,2,10,10,True,True,82.76,1148,0,7761,8909,False,0,2025-08-26T19:24:12.836685
47,puzzle47,easy,4,0,6,10,False,True,215.77,1142,0,13953,15095,False,0,2025-08-26T19:27:49.602822
48,puzzle48,easy,4,0,3,3,True,True,16.23,1141,0,1236,2377,False,0,2025-08-26T19:28:06.828324
49,puzzle49,easy,3,1,3,3,True,True,23.14,1143,0,1813,2956,False,0,2025-08-26T19:28:30.964717
50,puzzle50,easy,2,2,4,4,True,True,14.59,1151,0,1580,2731,False,0,2025-08-26T19:28:46.558579
51,puzzle51,medium,5,1,5,5,True,True,38.73,1191,0,3207,4398,False,0,2025-08-26T19:29:26.289075
52,puzzle52,medium,5,1,4,4,True,True,48.46,1191,0,2989,4180,False,0,2025-08-26T19:30:15.751504
53,puzzle53,medium,3,3,3,3,True,True,47.74,1205,0,3422,4627,False,0,2025-08-26T19:31:04.493512
54,puzzle54,medium,5,1,3,3,True,True,17.43,1192,0,1685,2877,False,0,2025-08-26T19:31:22.926110
55,puzzle55,medium,3,3,3,3,True,True,40.61,1206,0,1749,2955,False,0,2025-08-26T19:32:04.537664
56,puzzle56,medium,3,3,13,13,True,True,1132.03,1204,0,23165,24369,False,0,2025-08-26T19:50:57.569872
57,puzzle57,medium,4,2,6,7,False,True,222.85,1198,0,13759,14957,False,0,2025-08-26T19:54:41.415796
58,puzzle58,medium,5,1,9,0,False,False,676.01,1191,0,6105,7296,False,0,2025-08-26T20:05:58.424376
59,puzzle59,medium,5,1,7,7,True,True,49.07,1191,0,4671,5862,False,0,2025-08-26T20:06:48.493362
60,puzzle60,medium,5,1,8,9,False,True,141.35,1193,0,7850,9043,False,0,2025-08-26T20:09:10.848589
61,puzzle61,medium,4,2,13,0,False,False,300.28,1200,0,15242,16442,False,0,2025-08-26T20:14:12.126364
62,puzzle62,medium,4,2,8,9,False,True,246.92,1198,0,9841,11039,False,0,2025-08-26T20:18:20.045202
63,puzzle63,medium,4,2,14,15,False,True,423.77,1196,0,34830,36026,False,0,2025-08-26T20:25:24.816617
64,puzzle64,medium,3,3,17,0,False,False,1801.42,0,0,0,0,False,0,2025-08-26T20:55:27.234962
65,puzzle65,medium,4,2,4,4,True,True,99.52,1197,0,8237,9434,False,0,2025-08-26T20:57:07.759216
66,puzzle66,medium,5,1,11,11,True,True,768.54,1192,0,12386,13578,False,0,2025-08-26T21:09:57.297223
67,puzzle67,medium,4,2,8,8,True,True,92.01,1199,0,7448,8647,False,0,2025-08-26T21:11:30.309665
68,puzzle68,medium,4,2,12,0,False,False,32.67,1197,0,2542,3739,False,0,2025-08-26T21:12:03.975200
69,puzzle69,medium,5,1,5,5,True,True,66.6,1190,0,4495,5685,False,0,2025-08-26T21:13:11.571246
70,puzzle70,medium,4,2,7,7,True,True,153.23,1199,0,9601,10800,False,0,2025-08-26T21:15:45.802144
71,puzzle71,medium,3,3,2,2,True,True,23.46,1205,0,1989,3194,False,0,2025-08-26T21:16:10.261168
72,puzzle72,medium,3,3,11,11,True,True,352.24,1204,0,20203,21407,False,0,2025-08-26T21:22:03.501471
73,puzzle73,medium,3,3,13,17,False,True,1740.11,1205,0,32609,33814,False,0,2025-08-26T21:51:04.615955
74,puzzle74,medium,5,1,7,8,False,True,98.74,1191,0,7248,8439,False,0,2025-08-26T21:52:44.358676
75,puzzle75,medium,4,2,10,12,False,True,530.31,1198,0,30660,31858,False,0,2025-08-26T22:01:35.666396
76,puzzle76,medium,4,2,7,12,False,True,153.04,1198,0,14333,15531,False,0,2025-08-26T22:04:09.710167
77,puzzle77,medium,3,3,17,20,False,True,553.05,1205,0,32792,33997,False,0,2025-08-26T22:13:23.757432
78,puzzle78,medium,5,1,8,11,False,True,177.59,1192,0,11618,12810,False,0,2025-08-26T22:16:22.349801
79,puzzle79,medium,5,1,4,4,True,True,41.19,1192,0,2670,3862,False,0,2025-08-26T22:17:04.536759
80,puzzle80,medium,4,2,1,1,True,True,13.13,1199,0,612,1811,False,0,2025-08-26T22:17:18.667179
81,puzzle81,medium,5,1,4,4,True,True,20.19,1192,0,1902,3094,False,0,2025-08-26T22:17:39.859616
82,puzzle82,medium,3,3,5,8,False,True,352.08,1207,0,19488,20695,False,0,2025-08-26T22:23:32.937043
83,puzzle83,medium,5,1,6,7,False,True,66.38,1193,0,6135,7328,False,0,2025-08-26T22:24:40.314787
84,puzzle84,medium,5,1,7,7,True,True,90.74,1192,0,6785,7977,False,0,2025-08-26T22:26:12.059189
85,puzzle85,medium,5,1,2,2,True,True,16.71,1193,0,1468,2661,False,0,2025-08-26T22:26:29.773778
86,puzzle86,medium,5,1,9,10,False,True,85.32,1193,0,7954,9147,False,0,2025-08-26T22:27:56.098455
87,puzzle87,medium,5,1,7,7,True,True,41.0,1191,0,3510,4701,False,0,2025-08-26T22:28:38.094111
88,puzzle88,medium,3,3,6,9,False,True,66.52,1206,0,6330,7536,False,0,2025-08-26T22:29:45.612476
89,puzzle89,medium,4,2,3,3,True,True,22.92,1198,0,2133,3331,False,0,2025-08-26T22:30:09.531004
90,puzzle90,medium,3,3,10,10,True,True,197.14,1204,0,8073,9277,False,0,2025-08-26T22:33:27.672677
91,puzzle91,medium,4,2,10,0,False,False,496.41,1200,0,34089,35289,False,0,2025-08-26T22:41:45.081183
92,puzzle92,medium,5,1,7,9,False,True,115.58,1191,0,5929,7120,False,0,2025-08-26T22:43:41.665066
93,puzzle93,medium,4,2,18,33,False,True,451.62,1199,0,34768,35967,False,0,2025-08-26T22:51:14.284017
94,puzzle94,medium,3,3,7,10,False,True,234.31,1205,0,12363,13568,False,0,2025-08-26T22:55:09.597170
95,puzzle95,medium,4,2,10,13,False,True,288.37,1200,0,19211,20411,False,0,2025-08-26T22:59:58.971496
96,puzzle96,medium,5,1,7,12,False,True,175.12,1193,0,10035,11228,False,0,2025-08-26T23:02:55.093735
97,puzzle97,medium,3,3,20,0,False,False,511.72,1205,0,28047,29252,False,0,2025-08-26T23:11:27.818675
98,puzzle98,medium,3,3,14,18,False,True,304.46,1204,0,22650,23854,False,0,2025-08-26T23:16:33.278422
99,puzzle99,medium,3,3,13,18,False,True,239.13,1205,0,14167,15372,False,0,2025-08-26T23:20:33.409301
100,puzzle100,medium,4,2,12,22,False,True,381.48,1200,0,22668,23868,False,0,2025-08-26T23:26:55.888178
101,puzzle101,hard,3,4,18,0,False,False,229.66,1205,0,13090,14295,False,0,2025-08-26T23:30:46.548128
102,puzzle102,hard,4,3,6,0,False,False,1007.66,1230,0,36207,37437,False,0,2025-08-26T23:47:35.206422
103,puzzle103,hard,3,4,10,0,False,False,376.55,0,0,0,0,False,0,2025-08-26T23:53:52.757555
104,puzzle104,hard,5,3,2,2,True,True,6.33,1223,0,572,1795,False,0,2025-08-26T23:54:00.087641
105,puzzle105,hard,5,3,13,0,False,False,341.16,1222,0,27878,29100,False,0,2025-08-26T23:59:42.251694
106,puzzle106,hard,4,3,1,1,True,True,9.75,1200,0,804,2004,False,0,2025-08-26T23:59:53.005777
107,puzzle107,hard,5,3,16,0,False,False,314.42,1224,0,17973,19197,False,0,2025-08-27T00:05:08.425620
108,puzzle108,hard,5,3,1,1,True,True,12.32,1222,0,996,2218,False,0,2025-08-27T00:05:21.743082
109,puzzle109,hard,5,3,9,10,False,True,316.59,1255,0,11330,12585,False,0,2025-08-27T00:10:39.351242
110,puzzle110,hard,5,3,16,0,False,False,1791.24,1222,0,34426,35648,False,0,2025-08-27T00:40:31.592584
111,puzzle111,hard,5,3,23,0,False,False,333.69,1222,0,25959,27181,False,0,2025-08-27T00:46:06.279481
112,puzzle112,hard,4,3,10,11,False,True,149.53,1230,0,8610,9840,False,0,2025-08-27T00:48:36.806379
113,puzzle113,hard,3,4,9,11,False,True,328.52,1205,0,21155,22360,False,0,2025-08-27T00:54:06.331674
114,puzzle114,hard,4,3,6,8,False,True,205.74,1229,0,11947,13176,False,0,2025-08-27T00:57:33.069891
115,puzzle115,hard,3,4,7,7,True,True,209.95,1205,0,9784,10989,False,0,2025-08-27T01:01:04.021954
116,puzzle116,hard,4,3,8,11,False,True,197.45,1228,0,17158,18386,False,0,2025-08-27T01:04:22.474725
117,puzzle117,hard,4,3,16,0,False,False,597.83,1229,0,25805,27034,False,0,2025-08-27T01:14:21.305616
118,puzzle118,hard,5,3,6,6,True,True,76.92,1194,0,3296,4490,False,0,2025-08-27T01:15:39.228293
119,puzzle119,hard,4,3,41,0,False,False,37.63,1230,0,2220,3450,False,0,2025-08-27T01:16:17.856283
120,puzzle120,hard,5,3,5,9,False,True,128.82,1193,0,6954,8147,False,0,2025-08-27T01:18:27.675511
121,puzzle121,hard,3,4,19,0,False,False,316.54,1206,0,18297,19503,False,0,2025-08-27T01:23:45.222313
122,puzzle122,hard,5,3,20,0,False,False,395.08,1253,0,20316,21569,False,0,2025-08-27T01:30:21.302609
123,puzzle123,hard,4,3,6,6,True,True,116.26,1231,0,7336,8567,False,0,2025-08-27T01:32:18.563125
124,puzzle124,hard,5,3,12,0,False,False,535.41,1222,0,34770,35992,False,0,2025-08-27T01:41:14.971219
125,puzzle125,hard,5,3,22,11,False,True,1192.34,1221,0,34940,36161,False,0,2025-08-27T02:01:08.315332
126,puzzle126,hard,3,4,11,0,False,False,150.56,1236,0,7991,9227,False,0,2025-08-27T02:03:39.872333
127,puzzle127,hard,3,4,4,4,True,True,89.31,1175,0,6893,8068,False,0,2025-08-27T02:05:10.187609
128,puzzle128,hard,3,4,65,0,False,False,339.99,1236,0,18175,19411,False,0,2025-08-27T02:10:51.182268
129,puzzle129,hard,5,3,10,15,False,True,1558.03,1225,0,21631,22856,False,0,2025-08-27T02:36:50.215356
130,puzzle130,hard,4,3,16,0,False,False,1801.68,0,0,0,0,False,0,2025-08-27T03:06:52.894167
131,puzzle131,hard,4,3,29,0,False,False,475.36,1229,0,13772,15001,False,0,2025-08-27T03:14:49.255285
132,puzzle132,hard,3,4,5,5,True,True,72.59,1236,0,5088,6324,False,0,2025-08-27T03:16:02.851043
133,puzzle133,hard,3,4,12,0,False,False,354.85,1236,0,25101,26337,False,0,2025-08-27T03:21:58.704009
134,puzzle134,hard,4,3,10,10,True,True,395.71,1230,0,31499,32729,False,0,2025-08-27T03:28:35.413574
135,puzzle135,hard,3,4,10,11,False,True,128.54,1205,0,8091,9296,False,0,2025-08-27T03:30:44.950858
136,puzzle136,hard,3,4,10,0,False,False,441.36,1204,0,36271,37475,False,0,2025-08-27T03:38:07.312737
137,puzzle137,hard,5,3,13,0,False,False,445.38,1223,0,32401,33624,False,0,2025-08-27T03:45:33.691129
138,puzzle138,hard,4,3,12,0,False,False,203.38,1228,0,12242,13470,False,0,2025-08-27T03:48:58.071887
139,puzzle139,hard,4,3,8,8,True,True,108.98,1230,0,7000,8230,False,0,2025-08-27T03:50:48.052474
140,puzzle140,hard,5,3,11,11,True,True,913.44,1223,0,23834,25057,False,0,2025-08-27T04:06:02.497476
141,puzzle141,hard,4,3,40,0,False,False,299.85,1229,0,22463,23692,False,0,2025-08-27T04:11:03.353705
142,puzzle142,hard,5,3,6,6,True,True,33.2,1223,0,2400,3623,False,0,2025-08-27T04:11:37.556396
143,puzzle143,hard,3,4,9,0,False,False,113.9,1206,0,8315,9521,False,0,2025-08-27T04:13:32.461676
144,puzzle144,hard,4,3,22,0,False,False,468.71,1228,0,35322,36550,False,0,2025-08-27T04:21:22.173660
145,puzzle145,hard,4,3,22,0,False,False,1231.07,1231,0,2554,3785,False,0,2025-08-27T04:41:54.248406
146,puzzle146,hard,3,4,17,17,True,True,597.33,1204,0,38376,39580,False,0,2025-08-27T04:51:52.582359
147,puzzle147,hard,5,3,9,12,False,True,324.96,1193,0,14395,15588,False,0,2025-08-27T04:51:58.002040
148,puzzle148,hard,4,3,9,9,True,True,413.88,1230,0,20603,21833,False,0,2025-08-27T04:52:03.457295
149,puzzle149,hard,4,3,6,9,False,True,262.06,1230,0,17531,18761,False,0,2025-08-27T04:52:07.732428
150,puzzle150,hard,5,3,15,0,False,False,3.41,1221,0,2558,3779,False,0,2025-08-27T04:52:12.141619
