puzzle_id,folder_name,base_puzzle,difficulty,num_1x1_blockers,num_2x1_blockers,solution_length,exit_position
126,puzzle126,126,hard,0,3,4,"[2,4]"
127,puzzle127,127,hard,0,3,1,"[2,4]"
128,puzzle128,128,hard,0,3,6,"[2,4]"
129,puzzle129,129,hard,1,3,3,"[2,4]"
130,puzzle130,130,hard,0,4,7,"[2,4]"
131,puzzle131,131,hard,0,4,3,"[2,4]"
132,puzzle132,132,hard,0,4,6,"[2,4]"
133,puzzle133,133,hard,0,4,5,"[2,4]"
134,puzzle134,134,hard,2,3,6,"[2,4]"
135,puzzle135,135,hard,0,4,4,"[2,4]"
136,puzzle136,136,hard,2,3,2,"[2,4]"
137,puzzle137,137,hard,0,4,5,"[2,4]"
138,puzzle138,138,hard,0,4,6,"[2,4]"
139,puzzle139,139,hard,0,3,4,"[2,4]"
140,puzzle140,140,hard,1,3,2,"[2,4]"
141,puzzle141,141,hard,0,3,7,"[2,4]"
142,puzzle142,142,hard,0,3,6,"[2,4]"
143,puzzle143,143,hard,0,4,5,"[2,4]"
144,puzzle144,144,hard,0,4,8,"[2,4]"
145,puzzle145,145,hard,0,3,1,"[2,4]"
146,puzzle146,146,hard,2,3,5,"[2,4]"
147,puzzle147,147,hard,1,3,3,"[2,4]"
148,puzzle148,148,hard,0,4,3,"[2,4]"
149,puzzle149,149,hard,0,4,6,"[2,4]"
150,puzzle150,150,hard,2,3,6,"[2,4]"
