puzzle_num,puzzle_folder,difficulty,num_1x1_blockers,num_2x1_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,input_tokens,reasoning_tokens,output_tokens,total_tokens,has_reasoning,reasoning_length_chars,timestamp
30,puzzle30,easy,5,0,3,3,True,True,9.8,916,0,829,1745,False,0,2025-08-25T16:20:50.119362
31,puzzle31,easy,4,0,3,3,True,True,9.84,905,0,636,1541,False,0,2025-08-25T16:21:00.960032
32,puzzle32,easy,5,0,2,2,True,True,8.84,916,0,749,1665,False,0,2025-08-25T16:21:10.804737
33,puzzle33,easy,5,0,2,2,True,True,13.42,918,0,620,1538,False,0,2025-08-25T16:21:25.230268
34,puzzle34,easy,4,0,2,2,True,True,12.1,906,0,556,1462,False,0,2025-08-25T16:21:38.326981
35,puzzle35,easy,4,0,4,4,True,True,12.78,904,0,1420,2324,False,0,2025-08-25T16:21:52.109381
36,puzzle36,easy,5,0,4,4,True,True,9.88,917,0,908,1825,False,0,2025-08-25T16:22:02.990635
37,puzzle37,easy,4,0,2,2,True,True,8.01,904,0,685,1589,False,0,2025-08-25T16:22:12.004822
38,puzzle38,easy,5,0,4,4,True,True,27.94,916,0,2381,3297,False,0,2025-08-25T16:22:40.948343
39,puzzle39,easy,5,0,5,5,True,True,15.29,917,0,1246,2163,False,0,2025-08-25T16:22:57.236121
40,puzzle40,easy,5,0,5,5,True,True,39.64,917,0,3293,4210,False,0,2025-08-25T16:23:37.877052
41,puzzle41,easy,4,0,2,2,True,True,9.94,904,0,556,1460,False,0,2025-08-25T16:23:48.822257
42,puzzle42,easy,4,0,3,3,True,True,34.87,904,0,1852,2756,False,0,2025-08-25T16:24:24.695157
43,puzzle43,easy,4,0,2,2,True,True,8.69,907,0,620,1527,False,0,2025-08-25T16:24:34.381859
44,puzzle44,easy,5,0,1,1,True,True,4.39,916,0,412,1328,False,0,2025-08-25T16:24:39.771613
45,puzzle45,easy,4,0,6,6,True,True,20.8,905,0,1773,2678,False,0,2025-08-25T16:25:01.576353
46,puzzle46,easy,4,0,6,6,True,True,73.34,905,0,4974,5879,False,0,2025-08-25T16:26:15.918768
47,puzzle47,easy,4,0,5,5,True,True,30.53,904,0,2910,3814,False,0,2025-08-25T16:26:47.445740
48,puzzle48,easy,3,1,4,4,True,True,11.84,909,0,1100,2009,False,0,2025-08-25T16:27:00.285664
49,puzzle49,easy,4,0,1,1,True,True,4.31,905,0,348,1253,False,0,2025-08-25T16:27:05.595422
50,puzzle50,easy,4,0,1,1,True,True,10.53,905,0,476,1381,False,0,2025-08-25T16:27:17.128404
51,puzzle51,medium,4,1,3,3,True,True,13.68,920,0,1669,2589,False,0,2025-08-25T16:27:31.809459
52,puzzle52,medium,2,2,6,6,True,True,28.19,919,0,2486,3405,False,0,2025-08-25T16:28:01.001002
53,puzzle53,medium,4,1,3,3,True,True,14.12,921,0,1277,2198,False,0,2025-08-25T16:28:16.125233
54,puzzle54,medium,4,1,3,3,True,True,11.89,921,0,764,1685,False,0,2025-08-25T16:28:29.017396
55,puzzle55,medium,3,2,1,1,True,True,6.6,932,0,540,1472,False,0,2025-08-25T16:28:36.613935
56,puzzle56,medium,4,1,3,4,False,True,19.19,920,0,973,1893,False,0,2025-08-25T16:28:56.805899
57,puzzle57,medium,2,2,1,1,True,True,6.47,919,0,540,1459,False,0,2025-08-25T16:29:04.275138
58,puzzle58,medium,2,2,2,2,True,True,10.22,919,0,1068,1987,False,0,2025-08-25T16:29:15.497112
59,puzzle59,medium,1,2,2,2,True,True,23.72,907,0,1525,2432,False,0,2025-08-25T16:29:40.218345
60,puzzle60,medium,2,2,5,5,True,True,42.41,920,0,3549,4469,False,0,2025-08-25T16:30:23.633029
61,puzzle61,medium,1,2,3,6,False,True,54.45,907,0,3400,4307,False,0,2025-08-25T16:31:19.085682
62,puzzle62,medium,3,2,5,5,True,True,20.15,931,0,1949,2880,False,0,2025-08-25T16:31:40.235622
63,puzzle63,medium,2,2,2,2,True,True,11.68,919,0,812,1731,False,0,2025-08-25T16:31:52.913094
64,puzzle64,medium,3,2,1,1,True,True,10.15,931,0,732,1663,False,0,2025-08-25T16:32:04.059319
65,puzzle65,medium,2,2,6,6,True,True,134.22,920,0,5814,6734,False,0,2025-08-25T16:34:19.280089
66,puzzle66,medium,2,2,4,4,True,True,20.98,920,0,1485,2405,False,0,2025-08-25T16:34:41.264996
67,puzzle67,medium,3,2,1,1,True,True,6.68,931,0,540,1471,False,0,2025-08-25T16:34:48.943904
68,puzzle68,medium,3,2,2,2,True,True,29.42,929,0,1781,2710,False,0,2025-08-25T16:35:19.364333
69,puzzle69,medium,3,2,2,2,True,True,11.38,932,0,748,1680,False,0,2025-08-25T16:35:31.747600
70,puzzle70,medium,3,2,6,6,True,True,32.02,930,0,3118,4048,False,0,2025-08-25T16:36:04.767158
71,puzzle71,medium,3,2,1,1,True,True,8.99,930,0,476,1406,False,0,2025-08-25T16:36:14.759975
72,puzzle72,medium,1,2,2,2,True,True,10.18,909,0,748,1657,False,0,2025-08-25T16:36:25.936246
73,puzzle73,medium,1,2,2,2,True,True,10.27,907,0,1004,1911,False,0,2025-08-25T16:36:37.203340
74,puzzle74,medium,1,2,7,6,False,True,82.85,909,0,6216,7125,False,0,2025-08-25T16:38:01.053367
75,puzzle75,medium,3,2,4,4,True,True,11.81,931,0,917,1848,False,0,2025-08-25T16:38:13.868175
76,puzzle76,medium,1,2,1,1,True,True,5.58,907,0,476,1383,False,0,2025-08-25T16:38:20.451894
77,puzzle77,medium,4,1,4,4,True,True,26.39,923,0,2638,3561,False,0,2025-08-25T16:38:47.841534
78,puzzle78,medium,4,1,1,1,True,True,7.01,923,0,540,1463,False,0,2025-08-25T16:38:55.853898
79,puzzle79,medium,1,2,3,3,True,True,12.83,907,0,1166,2073,False,0,2025-08-25T16:39:09.680963
80,puzzle80,medium,1,2,5,5,True,True,22.59,906,0,2149,3055,False,0,2025-08-25T16:39:33.270576
81,puzzle81,medium,1,2,3,3,True,True,11.63,907,0,1212,2119,False,0,2025-08-25T16:39:45.902608
82,puzzle82,medium,3,2,5,5,True,True,16.36,930,0,1565,2495,False,0,2025-08-25T16:40:03.262798
83,puzzle83,medium,4,1,2,2,True,True,8.16,922,0,685,1607,False,0,2025-08-25T16:40:12.425374
84,puzzle84,medium,3,2,7,7,True,True,174.73,931,0,9999,10930,False,0,2025-08-25T16:43:08.156785
85,puzzle85,medium,3,2,5,7,False,True,48.99,931,0,4623,5554,False,0,2025-08-25T16:43:58.151425
86,puzzle86,medium,4,1,4,4,True,True,35.9,921,0,2454,3375,False,0,2025-08-25T16:44:35.052345
87,puzzle87,medium,4,1,2,2,True,True,12.75,920,0,1197,2117,False,0,2025-08-25T16:44:48.806872
88,puzzle88,medium,1,2,2,2,True,True,7.39,907,0,620,1527,False,0,2025-08-25T16:44:57.198702
89,puzzle89,medium,3,2,1,1,True,True,5.19,933,0,348,1281,False,0,2025-08-25T16:45:03.388502
90,puzzle90,medium,4,1,1,1,True,True,6.84,922,0,604,1526,False,0,2025-08-25T16:45:11.229737
91,puzzle91,medium,4,1,5,5,True,True,20.32,921,0,2149,3070,False,0,2025-08-25T16:45:32.574114
92,puzzle92,medium,3,2,6,6,True,True,41.07,929,0,4286,5215,False,0,2025-08-25T16:46:14.641762
93,puzzle93,medium,4,1,5,5,True,True,12.75,921,0,1244,2165,False,0,2025-08-25T16:46:28.387781
94,puzzle94,medium,4,1,2,2,True,True,13.73,921,0,876,1797,False,0,2025-08-25T16:46:43.115293
95,puzzle95,medium,3,2,8,8,True,True,72.39,929,0,4768,5697,False,0,2025-08-25T16:47:56.501140
96,puzzle96,medium,4,1,3,3,True,True,9.36,921,0,764,1685,False,0,2025-08-25T16:48:06.860261
97,puzzle97,medium,1,2,1,1,True,True,5.63,908,0,476,1384,False,0,2025-08-25T16:48:13.491875
98,puzzle98,medium,3,2,3,3,True,True,19.87,932,0,1340,2272,False,0,2025-08-25T16:48:34.361782
99,puzzle99,medium,3,2,6,7,False,True,192.88,930,0,8599,9529,False,0,2025-08-25T16:51:48.247382
100,puzzle100,medium,1,2,3,3,True,True,12.02,908,0,1020,1928,False,0,2025-08-25T16:52:01.264051
101,puzzle101,hard,0,3,6,6,True,True,41.87,922,0,3454,4376,False,0,2025-08-25T16:52:44.135724
102,puzzle102,hard,2,3,5,5,True,True,51.45,939,0,2597,3536,False,0,2025-08-25T16:53:36.589970
103,puzzle103,hard,0,4,3,3,True,True,45.66,943,0,2053,2996,False,0,2025-08-25T16:54:23.248123
104,puzzle104,hard,0,4,7,7,True,True,67.79,943,0,4695,5638,False,0,2025-08-25T16:55:32.040556
105,puzzle105,hard,2,3,8,8,True,True,78.07,940,0,5024,5964,False,0,2025-08-25T16:56:51.110163
106,puzzle106,hard,0,3,6,6,True,True,57.16,923,0,4213,5136,False,0,2025-08-25T16:57:49.274052
107,puzzle107,hard,1,3,4,4,True,True,27.53,930,0,1493,2423,False,0,2025-08-25T16:58:17.800348
108,puzzle108,hard,2,3,9,12,False,True,168.78,940,0,10097,11037,False,0,2025-08-25T17:01:07.576713
109,puzzle109,hard,2,3,3,3,True,True,31.09,940,0,1725,2665,False,0,2025-08-25T17:01:39.671776
110,puzzle110,hard,1,3,3,3,True,True,12.8,928,0,1276,2204,False,0,2025-08-25T17:01:53.473145
111,puzzle111,hard,2,3,4,6,False,True,59.24,941,0,3440,4381,False,0,2025-08-25T17:02:53.719737
112,puzzle112,hard,0,3,2,2,True,True,9.48,923,0,876,1799,False,0,2025-08-25T17:03:04.204097
113,puzzle113,hard,2,3,7,7,True,True,110.21,940,0,5374,6314,False,0,2025-08-25T17:04:55.419894
114,puzzle114,hard,1,3,5,6,False,True,62.59,929,0,6224,7153,False,0,2025-08-25T17:05:59.013946
115,puzzle115,hard,0,4,6,6,True,True,94.21,943,0,3957,4900,False,0,2025-08-25T17:07:34.222297
116,puzzle116,hard,0,4,4,4,True,True,33.76,944,0,3349,4293,False,0,2025-08-25T17:08:08.985532
117,puzzle117,hard,0,4,4,5,False,True,42.27,944,0,4023,4967,False,0,2025-08-25T17:08:52.254010
118,puzzle118,hard,2,3,4,4,True,True,22.55,941,0,2142,3083,False,0,2025-08-25T17:09:15.806675
119,puzzle119,hard,2,3,4,4,True,True,172.91,941,0,8406,9347,False,0,2025-08-25T17:12:09.717127
120,puzzle120,hard,0,3,1,1,True,True,7.58,923,0,540,1463,False,0,2025-08-25T17:12:18.301116
121,puzzle121,hard,0,4,4,4,True,True,20.51,942,0,1941,2883,False,0,2025-08-25T17:12:39.812050
122,puzzle122,hard,2,3,9,10,False,True,368.46,940,0,23897,24837,False,0,2025-08-25T17:18:49.274036
123,puzzle123,hard,1,3,4,4,True,True,38.81,927,0,4190,5117,False,0,2025-08-25T17:19:29.079591
124,puzzle124,hard,0,4,1,1,True,True,7.24,944,0,540,1484,False,0,2025-08-25T17:19:37.317701
125,puzzle125,hard,1,3,1,1,True,True,9.25,929,0,476,1405,False,0,2025-08-25T17:19:47.565944
126,puzzle126,hard,0,3,4,4,True,True,28.11,921,0,2069,2990,False,0,2025-08-25T17:20:16.678124
127,puzzle127,hard,0,3,1,1,True,True,7.52,922,0,412,1334,False,0,2025-08-25T17:20:25.202911
128,puzzle128,hard,0,3,6,6,True,True,45.23,922,0,3646,4568,False,0,2025-08-25T17:21:11.429764
129,puzzle129,hard,1,3,3,3,True,True,25.57,929,0,1661,2590,False,0,2025-08-25T17:21:38.000069
130,puzzle130,hard,0,4,7,7,True,True,37.8,942,0,2912,3854,False,0,2025-08-25T17:22:16.800307
131,puzzle131,hard,0,4,3,3,True,True,22.22,944,0,1212,2156,False,0,2025-08-25T17:22:40.023945
132,puzzle132,hard,0,4,6,6,True,True,39.24,944,0,3207,4151,False,0,2025-08-25T17:23:20.269215
133,puzzle133,hard,0,4,5,5,True,True,26.82,943,0,2469,3412,False,0,2025-08-25T17:23:48.090691
134,puzzle134,hard,2,3,6,7,False,True,109.29,941,0,4176,5117,False,0,2025-08-25T17:25:38.385790
135,puzzle135,hard,0,4,4,4,True,True,52.29,943,0,2517,3460,False,0,2025-08-25T17:26:31.675816
136,puzzle136,hard,2,3,2,2,True,True,26.47,940,0,1517,2457,False,0,2025-08-25T17:26:59.145671
137,puzzle137,hard,0,4,5,5,True,True,37.56,943,0,2597,3540,False,0,2025-08-25T17:27:37.709668
138,puzzle138,hard,0,4,6,6,True,True,52.08,943,0,3655,4598,False,0,2025-08-25T17:28:30.789494
139,puzzle139,hard,0,3,4,4,True,True,17.45,922,0,1429,2351,False,0,2025-08-25T17:28:49.240577
140,puzzle140,hard,1,3,2,2,True,True,11.49,929,0,1068,1997,False,0,2025-08-25T17:29:01.732472
141,puzzle141,hard,0,3,7,10,False,True,193.23,922,0,11673,12595,False,0,2025-08-25T17:32:15.959663
142,puzzle142,hard,0,3,6,6,True,True,34.54,922,0,2878,3800,False,0,2025-08-25T17:32:51.495971
143,puzzle143,hard,0,4,5,5,True,True,31.93,943,0,2414,3357,False,0,2025-08-25T17:33:24.421477
144,puzzle144,hard,0,4,8,8,True,True,100.81,943,0,9511,10454,False,0,2025-08-25T17:35:06.236877
145,puzzle145,hard,0,3,1,1,True,True,7.08,924,0,476,1400,False,0,2025-08-25T17:35:14.314184
146,puzzle146,hard,2,3,5,7,False,True,140.44,941,0,10008,10949,False,0,2025-08-25T17:37:35.758801
147,puzzle147,hard,1,3,3,3,True,True,31.14,926,0,2630,3556,False,0,2025-08-25T17:38:07.895658
148,puzzle148,hard,0,4,3,3,True,True,20.19,944,0,1020,1964,False,0,2025-08-25T17:38:29.088227
149,puzzle149,hard,0,4,6,8,False,True,66.43,944,0,6457,7401,False,0,2025-08-25T17:39:36.520597
150,puzzle150,hard,2,3,6,6,True,True,31.42,939,0,2927,3866,False,0,2025-08-25T17:40:08.935985
