puzzle_num,puzzle_folder,difficulty,num_blockers,optimal_solution_length,predicted_solution_length,length_matches_optimal,solution_found,processing_time_seconds,timestamp
37,puzzle37,easy,3,4,5,False,True,5.03,2025-08-21T09:50:49.147264
38,puzzle38,easy,2,2,3,False,True,3.26,2025-08-21T09:50:52.412320
39,puzzle39,easy,2,3,4,False,True,4.11,2025-08-21T09:50:56.517973
40,puzzle40,easy,2,1,1,True,True,3.11,2025-08-21T09:50:59.624804
41,puzzle41,easy,2,1,2,False,True,2.33,2025-08-21T09:51:01.954410
42,puzzle42,easy,3,2,4,False,True,4.16,2025-08-21T09:51:06.119839
43,puzzle43,easy,3,5,5,True,True,5.06,2025-08-21T09:51:11.175832
44,puzzle44,easy,2,3,6,False,True,5.95,2025-08-21T09:51:17.126903
45,puzzle45,easy,3,3,5,False,True,5.1,2025-08-21T09:51:22.227972
46,puzzle46,easy,3,1,2,False,True,2.32,2025-08-21T09:51:24.551536
47,puzzle47,easy,3,3,4,False,True,4.16,2025-08-21T09:51:28.709868
48,puzzle48,easy,2,3,5,False,True,5.04,2025-08-21T09:51:33.752473
49,puzzle49,easy,2,1,2,False,True,2.33,2025-08-21T09:51:36.078163
50,puzzle50,easy,3,2,4,False,True,4.16,2025-08-21T09:51:40.241260
51,puzzle51,medium,5,5,7,False,True,6.95,2025-08-21T09:51:47.190403
52,puzzle52,medium,5,2,2,True,True,2.33,2025-08-21T09:51:49.520384
53,puzzle53,medium,5,6,3,False,True,3.27,2025-08-21T09:51:52.791054
54,puzzle54,medium,4,2,4,False,True,4.16,2025-08-21T09:51:56.949933
55,puzzle55,medium,4,4,4,True,True,4.16,2025-08-21T09:52:01.109778
56,puzzle56,medium,4,3,4,False,True,4.16,2025-08-21T09:52:05.268168
57,puzzle57,medium,5,1,2,False,True,5.45,2025-08-21T09:52:10.714196
58,puzzle58,medium,5,4,5,False,True,5.11,2025-08-21T09:52:15.820399
59,puzzle59,medium,5,4,3,False,True,3.27,2025-08-21T09:52:19.095354
60,puzzle60,medium,4,4,3,False,True,3.28,2025-08-21T09:52:22.378725
61,puzzle61,medium,4,5,5,True,True,5.06,2025-08-21T09:52:27.445015
62,puzzle62,medium,5,5,5,True,True,5.09,2025-08-21T09:52:32.534861
63,puzzle63,medium,4,4,4,True,True,4.18,2025-08-21T09:52:36.711970
64,puzzle64,medium,4,4,7,False,True,6.95,2025-08-21T09:52:43.662293
65,puzzle65,medium,5,2,2,True,True,2.33,2025-08-21T09:52:45.993872
66,puzzle66,medium,4,4,5,False,True,5.05,2025-08-21T09:52:51.046188
67,puzzle67,medium,4,1,6,False,True,6.0,2025-08-21T09:52:57.048144
68,puzzle68,medium,4,1,2,False,True,2.33,2025-08-21T09:52:59.382949
69,puzzle69,medium,4,4,4,True,True,4.17,2025-08-21T09:53:03.553460
70,puzzle70,medium,4,4,6,False,True,6.0,2025-08-21T09:53:09.556791
71,puzzle71,medium,5,4,4,True,True,4.18,2025-08-21T09:53:13.736264
72,puzzle72,medium,4,1,2,False,True,2.33,2025-08-21T09:53:16.066836
73,puzzle73,medium,5,2,3,False,True,3.28,2025-08-21T09:53:19.347828
74,puzzle74,medium,4,2,5,False,True,5.05,2025-08-21T09:53:24.401465
75,puzzle75,medium,4,3,4,False,True,4.17,2025-08-21T09:53:28.569509
76,puzzle76,medium,5,5,9,False,True,8.72,2025-08-21T09:53:37.287189
77,puzzle77,medium,4,1,2,False,True,5.65,2025-08-21T09:53:42.940910
78,puzzle78,medium,4,4,4,True,True,4.15,2025-08-21T09:53:47.096025
79,puzzle79,medium,4,2,5,False,True,5.09,2025-08-21T09:53:52.190279
80,puzzle80,medium,4,4,4,True,True,4.15,2025-08-21T09:53:56.340029
81,puzzle81,medium,5,3,4,False,True,4.15,2025-08-21T09:54:00.495236
82,puzzle82,medium,5,1,2,False,True,2.32,2025-08-21T09:54:02.819488
83,puzzle83,medium,5,3,4,False,True,4.16,2025-08-21T09:54:06.978402
84,puzzle84,medium,5,2,3,False,True,3.28,2025-08-21T09:54:10.258060
85,puzzle85,medium,5,5,6,False,True,6.07,2025-08-21T09:54:16.323876
86,puzzle86,medium,4,4,6,False,True,5.99,2025-08-21T09:54:22.316355
87,puzzle87,medium,4,2,5,False,True,5.06,2025-08-21T09:54:27.379448
88,puzzle88,medium,5,1,2,False,True,2.33,2025-08-21T09:54:29.706869
89,puzzle89,medium,5,4,4,True,True,4.16,2025-08-21T09:54:33.867766
90,puzzle90,medium,4,3,4,False,True,4.16,2025-08-21T09:54:38.026848
91,puzzle91,medium,5,1,5,False,True,5.11,2025-08-21T09:54:43.141861
92,puzzle92,medium,4,1,2,False,True,5.55,2025-08-21T09:54:48.691262
93,puzzle93,medium,4,1,2,False,True,2.33,2025-08-21T09:54:51.022715
94,puzzle94,medium,4,3,3,True,True,3.27,2025-08-21T09:54:54.297940
95,puzzle95,medium,4,2,5,False,True,5.09,2025-08-21T09:54:59.392111
96,puzzle96,medium,5,3,4,False,True,4.15,2025-08-21T09:55:03.541948
97,puzzle97,medium,5,1,3,False,True,3.26,2025-08-21T09:55:06.804760
98,puzzle98,medium,4,2,6,False,True,5.98,2025-08-21T09:55:12.782173
99,puzzle99,medium,4,3,4,False,True,4.15,2025-08-21T09:55:16.931647
100,puzzle100,medium,4,2,2,True,True,2.32,2025-08-21T09:55:19.252239
101,puzzle101,hard,7,10,5,False,True,5.1,2025-08-21T09:55:24.350562
102,puzzle102,hard,7,6,6,True,True,6.04,2025-08-21T09:55:30.387801
103,puzzle103,hard,7,3,2,False,True,2.32,2025-08-21T09:55:32.712445
104,puzzle104,hard,6,8,8,True,True,7.87,2025-08-21T09:55:40.581770
105,puzzle105,hard,6,3,5,False,True,5.09,2025-08-21T09:55:45.676042
106,puzzle106,hard,6,3,3,True,True,3.27,2025-08-21T09:55:48.943366
107,puzzle107,hard,7,4,4,True,True,4.16,2025-08-21T09:55:53.100402
108,puzzle108,hard,6,7,5,False,True,5.04,2025-08-21T09:55:58.140376
109,puzzle109,hard,7,8,5,False,True,5.04,2025-08-21T09:56:03.180687
110,puzzle110,hard,6,4,4,True,True,4.16,2025-08-21T09:56:07.337468
111,puzzle111,hard,7,4,4,True,True,4.16,2025-08-21T09:56:11.499121
112,puzzle112,hard,7,1,2,False,True,5.43,2025-08-21T09:56:16.933810
113,puzzle113,hard,6,5,4,False,True,4.16,2025-08-21T09:56:21.089694
114,puzzle114,hard,7,1,7,False,True,6.93,2025-08-21T09:56:28.021301
115,puzzle115,hard,7,10,7,False,True,6.94,2025-08-21T09:56:34.958414
116,puzzle116,hard,7,4,5,False,True,5.04,2025-08-21T09:56:40.004079
117,puzzle117,hard,7,6,3,False,True,3.27,2025-08-21T09:56:43.278765
118,puzzle118,hard,6,5,3,False,True,3.27,2025-08-21T09:56:46.551460
119,puzzle119,hard,6,2,2,True,True,2.33,2025-08-21T09:56:48.878056
120,puzzle120,hard,7,4,4,True,True,4.16,2025-08-21T09:56:53.043042
121,puzzle121,hard,6,7,5,False,True,5.05,2025-08-21T09:56:58.092159
122,puzzle122,hard,7,5,3,False,True,3.27,2025-08-21T09:57:01.367261
123,puzzle123,hard,6,5,4,False,True,4.16,2025-08-21T09:57:05.525565
124,puzzle124,hard,7,3,3,True,True,3.27,2025-08-21T09:57:08.799425
125,puzzle125,hard,7,6,5,False,True,5.1,2025-08-21T09:57:13.903382
126,puzzle126,hard,6,3,2,False,True,2.33,2025-08-21T09:57:16.230398
127,puzzle127,hard,7,3,2,False,True,2.33,2025-08-21T09:57:18.556387
128,puzzle128,hard,6,6,6,True,True,5.99,2025-08-21T09:57:24.542945
129,puzzle129,hard,7,9,5,False,True,5.04,2025-08-21T09:57:29.588371
130,puzzle130,hard,7,7,7,True,True,6.94,2025-08-21T09:57:36.529637
131,puzzle131,hard,6,8,12,False,True,11.72,2025-08-21T09:57:48.254108
132,puzzle132,hard,7,5,4,False,True,4.16,2025-08-21T09:57:52.418084
133,puzzle133,hard,7,2,2,True,True,2.33,2025-08-21T09:57:54.749187
134,puzzle134,hard,7,7,4,False,True,4.16,2025-08-21T09:57:58.912548
135,puzzle135,hard,6,2,2,True,True,2.33,2025-08-21T09:58:01.241623
136,puzzle136,hard,7,4,7,False,True,6.94,2025-08-21T09:58:08.180285
137,puzzle137,hard,6,3,4,False,True,4.16,2025-08-21T09:58:12.341172
138,puzzle138,hard,7,5,5,True,True,5.1,2025-08-21T09:58:17.445568
139,puzzle139,hard,7,4,5,False,True,5.1,2025-08-21T09:58:22.541910
140,puzzle140,hard,7,3,2,False,True,2.33,2025-08-21T09:58:24.868610
141,puzzle141,hard,7,6,4,False,True,4.16,2025-08-21T09:58:29.027594
142,puzzle142,hard,6,1,2,False,True,5.43,2025-08-21T09:58:34.454462
143,puzzle143,hard,6,2,2,True,True,2.33,2025-08-21T09:58:36.780442
144,puzzle144,hard,6,3,2,False,True,2.32,2025-08-21T09:58:39.103883
145,puzzle145,hard,7,1,2,False,True,2.33,2025-08-21T09:58:41.431656
146,puzzle146,hard,7,4,2,False,True,2.33,2025-08-21T09:58:43.757526
147,puzzle147,hard,7,3,3,True,True,3.27,2025-08-21T09:58:47.025776
148,puzzle148,hard,7,4,2,False,True,2.33,2025-08-21T09:58:49.353156
149,puzzle149,hard,6,3,4,False,True,4.15,2025-08-21T09:58:53.503541
150,puzzle150,hard,6,4,3,False,True,3.26,2025-08-21T09:58:56.768965
