puzzle_id,folder_name,base_puzzle,difficulty,num_2x1_blockers,num_3x1_blockers,solution_length,exit_position
45,puzzle45,45,easy,4,0,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
46,puzzle46,46,easy,2,2,10,"[3,4] and [3,5] (2x1 horizontal target zone)"
47,puzzle47,47,easy,4,0,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
48,puzzle48,48,easy,4,0,3,"[3,4] and [3,5] (2x1 horizontal target zone)"
49,puzzle49,49,easy,3,1,3,"[3,4] and [3,5] (2x1 horizontal target zone)"
50,puzzle50,50,easy,2,2,4,"[3,4] and [3,5] (2x1 horizontal target zone)"
51,puzzle51,51,medium,5,1,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
52,puzzle52,52,medium,5,1,4,"[3,4] and [3,5] (2x1 horizontal target zone)"
53,puzzle53,53,medium,3,3,3,"[3,4] and [3,5] (2x1 horizontal target zone)"
54,puzzle54,54,medium,5,1,3,"[3,4] and [3,5] (2x1 horizontal target zone)"
55,puzzle55,55,medium,3,3,3,"[3,4] and [3,5] (2x1 horizontal target zone)"
56,puzzle56,56,medium,3,3,13,"[3,4] and [3,5] (2x1 horizontal target zone)"
57,puzzle57,57,medium,4,2,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
58,puzzle58,58,medium,5,1,9,"[3,4] and [3,5] (2x1 horizontal target zone)"
59,puzzle59,59,medium,5,1,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
60,puzzle60,60,medium,5,1,8,"[3,4] and [3,5] (2x1 horizontal target zone)"
61,puzzle61,61,medium,4,2,13,"[3,4] and [3,5] (2x1 horizontal target zone)"
62,puzzle62,62,medium,4,2,8,"[3,4] and [3,5] (2x1 horizontal target zone)"
63,puzzle63,63,medium,4,2,14,"[3,4] and [3,5] (2x1 horizontal target zone)"
64,puzzle64,64,medium,3,3,17,"[3,4] and [3,5] (2x1 horizontal target zone)"
65,puzzle65,65,medium,4,2,4,"[3,4] and [3,5] (2x1 horizontal target zone)"
66,puzzle66,66,medium,5,1,11,"[3,4] and [3,5] (2x1 horizontal target zone)"
67,puzzle67,67,medium,4,2,8,"[3,4] and [3,5] (2x1 horizontal target zone)"
68,puzzle68,68,medium,4,2,12,"[3,4] and [3,5] (2x1 horizontal target zone)"
69,puzzle69,69,medium,5,1,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
70,puzzle70,70,medium,4,2,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
71,puzzle71,71,medium,3,3,2,"[3,4] and [3,5] (2x1 horizontal target zone)"
72,puzzle72,72,medium,3,3,11,"[3,4] and [3,5] (2x1 horizontal target zone)"
73,puzzle73,73,medium,3,3,13,"[3,4] and [3,5] (2x1 horizontal target zone)"
74,puzzle74,74,medium,5,1,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
75,puzzle75,75,medium,4,2,10,"[3,4] and [3,5] (2x1 horizontal target zone)"
76,puzzle76,76,medium,4,2,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
77,puzzle77,77,medium,3,3,17,"[3,4] and [3,5] (2x1 horizontal target zone)"
78,puzzle78,78,medium,5,1,8,"[3,4] and [3,5] (2x1 horizontal target zone)"
79,puzzle79,79,medium,5,1,4,"[3,4] and [3,5] (2x1 horizontal target zone)"
80,puzzle80,80,medium,4,2,1,"[3,4] and [3,5] (2x1 horizontal target zone)"
81,puzzle81,81,medium,5,1,4,"[3,4] and [3,5] (2x1 horizontal target zone)"
82,puzzle82,82,medium,3,3,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
83,puzzle83,83,medium,5,1,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
84,puzzle84,84,medium,5,1,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
85,puzzle85,85,medium,5,1,2,"[3,4] and [3,5] (2x1 horizontal target zone)"
86,puzzle86,86,medium,5,1,9,"[3,4] and [3,5] (2x1 horizontal target zone)"
87,puzzle87,87,medium,5,1,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
88,puzzle88,88,medium,3,3,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
89,puzzle89,89,medium,4,2,3,"[3,4] and [3,5] (2x1 horizontal target zone)"
90,puzzle90,90,medium,3,3,10,"[3,4] and [3,5] (2x1 horizontal target zone)"
91,puzzle91,91,medium,4,2,10,"[3,4] and [3,5] (2x1 horizontal target zone)"
92,puzzle92,92,medium,5,1,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
93,puzzle93,93,medium,4,2,18,"[3,4] and [3,5] (2x1 horizontal target zone)"
94,puzzle94,94,medium,3,3,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
95,puzzle95,95,medium,4,2,10,"[3,4] and [3,5] (2x1 horizontal target zone)"
96,puzzle96,96,medium,5,1,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
97,puzzle97,97,medium,3,3,20,"[3,4] and [3,5] (2x1 horizontal target zone)"
98,puzzle98,98,medium,3,3,14,"[3,4] and [3,5] (2x1 horizontal target zone)"
99,puzzle99,99,medium,3,3,13,"[3,4] and [3,5] (2x1 horizontal target zone)"
100,puzzle100,100,medium,4,2,12,"[3,4] and [3,5] (2x1 horizontal target zone)"
101,puzzle101,101,hard,3,4,18,"[3,4] and [3,5] (2x1 horizontal target zone)"
102,puzzle102,102,hard,4,3,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
103,puzzle103,103,hard,3,4,10,"[3,4] and [3,5] (2x1 horizontal target zone)"
104,puzzle104,104,hard,5,3,2,"[3,4] and [3,5] (2x1 horizontal target zone)"
105,puzzle105,105,hard,5,3,13,"[3,4] and [3,5] (2x1 horizontal target zone)"
106,puzzle106,106,hard,4,3,1,"[3,4] and [3,5] (2x1 horizontal target zone)"
107,puzzle107,107,hard,5,3,16,"[3,4] and [3,5] (2x1 horizontal target zone)"
108,puzzle108,108,hard,5,3,1,"[3,4] and [3,5] (2x1 horizontal target zone)"
109,puzzle109,109,hard,5,3,9,"[3,4] and [3,5] (2x1 horizontal target zone)"
110,puzzle110,110,hard,5,3,16,"[3,4] and [3,5] (2x1 horizontal target zone)"
111,puzzle111,111,hard,5,3,23,"[3,4] and [3,5] (2x1 horizontal target zone)"
112,puzzle112,112,hard,4,3,10,"[3,4] and [3,5] (2x1 horizontal target zone)"
113,puzzle113,113,hard,3,4,9,"[3,4] and [3,5] (2x1 horizontal target zone)"
114,puzzle114,114,hard,4,3,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
115,puzzle115,115,hard,3,4,7,"[3,4] and [3,5] (2x1 horizontal target zone)"
116,puzzle116,116,hard,4,3,8,"[3,4] and [3,5] (2x1 horizontal target zone)"
117,puzzle117,117,hard,4,3,16,"[3,4] and [3,5] (2x1 horizontal target zone)"
118,puzzle118,118,hard,5,3,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
119,puzzle119,119,hard,4,3,41,"[3,4] and [3,5] (2x1 horizontal target zone)"
120,puzzle120,120,hard,5,3,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
121,puzzle121,121,hard,3,4,19,"[3,4] and [3,5] (2x1 horizontal target zone)"
122,puzzle122,122,hard,5,3,20,"[3,4] and [3,5] (2x1 horizontal target zone)"
123,puzzle123,123,hard,4,3,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
124,puzzle124,124,hard,5,3,12,"[3,4] and [3,5] (2x1 horizontal target zone)"
125,puzzle125,125,hard,5,3,22,"[3,4] and [3,5] (2x1 horizontal target zone)"
126,puzzle126,126,hard,3,4,11,"[3,4] and [3,5] (2x1 horizontal target zone)"
127,puzzle127,127,hard,3,4,4,"[3,4] and [3,5] (2x1 horizontal target zone)"
128,puzzle128,128,hard,3,4,65,"[3,4] and [3,5] (2x1 horizontal target zone)"
129,puzzle129,129,hard,5,3,10,"[3,4] and [3,5] (2x1 horizontal target zone)"
130,puzzle130,130,hard,4,3,16,"[3,4] and [3,5] (2x1 horizontal target zone)"
131,puzzle131,131,hard,4,3,29,"[3,4] and [3,5] (2x1 horizontal target zone)"
132,puzzle132,132,hard,3,4,5,"[3,4] and [3,5] (2x1 horizontal target zone)"
133,puzzle133,133,hard,3,4,12,"[3,4] and [3,5] (2x1 horizontal target zone)"
134,puzzle134,134,hard,4,3,10,"[3,4] and [3,5] (2x1 horizontal target zone)"
135,puzzle135,135,hard,3,4,10,"[3,4] and [3,5] (2x1 horizontal target zone)"
136,puzzle136,136,hard,3,4,10,"[3,4] and [3,5] (2x1 horizontal target zone)"
137,puzzle137,137,hard,5,3,13,"[3,4] and [3,5] (2x1 horizontal target zone)"
138,puzzle138,138,hard,4,3,12,"[3,4] and [3,5] (2x1 horizontal target zone)"
139,puzzle139,139,hard,4,3,8,"[3,4] and [3,5] (2x1 horizontal target zone)"
140,puzzle140,140,hard,5,3,11,"[3,4] and [3,5] (2x1 horizontal target zone)"
141,puzzle141,141,hard,4,3,40,"[3,4] and [3,5] (2x1 horizontal target zone)"
142,puzzle142,142,hard,5,3,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
143,puzzle143,143,hard,3,4,9,"[3,4] and [3,5] (2x1 horizontal target zone)"
144,puzzle144,144,hard,4,3,22,"[3,4] and [3,5] (2x1 horizontal target zone)"
145,puzzle145,145,hard,4,3,22,"[3,4] and [3,5] (2x1 horizontal target zone)"
146,puzzle146,146,hard,3,4,17,"[3,4] and [3,5] (2x1 horizontal target zone)"
147,puzzle147,147,hard,5,3,9,"[3,4] and [3,5] (2x1 horizontal target zone)"
148,puzzle148,148,hard,4,3,9,"[3,4] and [3,5] (2x1 horizontal target zone)"
149,puzzle149,149,hard,4,3,6,"[3,4] and [3,5] (2x1 horizontal target zone)"
150,puzzle150,150,hard,5,3,15,"[3,4] and [3,5] (2x1 horizontal target zone)"
